Generated by http://statistics.gov.scot,2021-12-13T20:45:35+00:00
http://statistics.gov.scot/data/pupil-attainment,Pupil Attainment
measure type,Count
Reference Period,2012/2013
Number Of Awards,5
SCQF Level,6 And Above
Secondary School Stage,S6
Measure (cell values): ,Count(Pupils)

,,http://statistics.gov.scot/def/concept/gender/all,http://statistics.gov.scot/def/concept/gender/female,http://statistics.gov.scot/def/concept/gender/male
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,49,34,15
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,50,29,21
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,33,21,12
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,78,42,36
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,70,31,39
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,21,12,9
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,53,26,27
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,35,23,12
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,83,43,40
http://statistics.gov.scot/id/statistical-geography/S13002559,Ballochmyle,28,18,10
http://statistics.gov.scot/id/statistical-geography/S13002504,Banchory and Mid Deeside,53,28,25
http://statistics.gov.scot/id/statistical-geography/S13002489,Banff and District,14,11,3
http://statistics.gov.scot/id/statistical-geography/S13002813,Bannockburn,28,17,11
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",10,6,4
http://statistics.gov.scot/id/statistical-geography/S13002578,Barrhead,63,28,35
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,53,37,16
http://statistics.gov.scot/id/statistical-geography/S13002563,Bearsden North,82,48,34
http://statistics.gov.scot/id/statistical-geography/S13002564,Bearsden South,78,43,35
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,3,1,2
http://statistics.gov.scot/id/statistical-geography/S13002725,Bellshill,38,22,16
http://statistics.gov.scot/id/statistical-geography/S13002566,Bishopbriggs North and Torrance,90,53,37
http://statistics.gov.scot/id/statistical-geography/S13002833,Bishopbriggs South,63,35,28
http://statistics.gov.scot/id/statistical-geography/S13002759,"Bishopton, Bridge of Weir & Langbank",60,33,27
http://statistics.gov.scot/id/statistical-geography/S13002671,Black Isle,63,45,18
http://statistics.gov.scot/id/statistical-geography/S13002740,Blairgowrie and Glens,26,16,10
http://statistics.gov.scot/id/statistical-geography/S13002801,Blantyre,31,20,11
http://statistics.gov.scot/id/statistical-geography/S13002609,Bo'ness and Blackness,20,12,8
http://statistics.gov.scot/id/statistical-geography/S13002613,Bonnybridge and Larbert,60,40,20
http://statistics.gov.scot/id/statistical-geography/S13002691,Bonnyrigg,51,28,23
http://statistics.gov.scot/id/statistical-geography/S13002802,Bothwell and Uddingston,40,24,16
http://statistics.gov.scot/id/statistical-geography/S13002509,Brechin and Edzell,30,22,8
http://statistics.gov.scot/id/statistical-geography/S13002477,Bridge of Don,45,21,24
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",43,30,13
http://statistics.gov.scot/id/statistical-geography/S13002640,"Buckhaven, Methil and Wemyss Villages",15,9,6
http://statistics.gov.scot/id/statistical-geography/S13002698,Buckie,25,17,8
http://statistics.gov.scot/id/statistical-geography/S13002627,"Burntisland, Kinghorn and Western Kirkcaldy",55,35,20
http://statistics.gov.scot/id/statistical-geography/S13002582,"Busby, Clarkston and Eaglesham",90,52,38
http://statistics.gov.scot/id/statistical-geography/S13002649,Calton,11,4,7
http://statistics.gov.scot/id/statistical-geography/S13002800,Cambuslang East,33,14,19
http://statistics.gov.scot/id/statistical-geography/S13002799,Cambuslang West,51,23,28
